rank	score	review_class	file	index	id	title	answer	question	detail	priority_reason	review_note	explanation
28	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level4_v95_a5_oop_basics.json	11	PYF95_A5_OOP_011_METHOD_CHANGES_ATTRIBUTE	method에서 attribute 바꾸기	결과는 1이다	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	초기 count는 0이고 add 한 번으로 1이 된다. 이 문제는 Level 4에서 객체지향 기초 코드를 실행 순서대로 읽는 연습이다. class는 설계도이고 object는 class를 호출해서 만든 실제 값이다. self는 method가 실행되는 현재 object를 가리키며, __init__은 object가 만들어질 때 attribute를 준비하는 특별한 method다. 정답을 고를 때는 class 정의만 보고 바로 실행된다고 생각하지 말고, object 생성 줄, attribute 대입, method 호출, return 또는 print 흐름을 차례대로 따라가야 한다.
29	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level4_v95_a5_oop_basics.json	15	PYF95_A5_OOP_015_LOOP_OBJECTS	object 리스트 반복	A 다음 B	출력 순서로 맞는 것은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	첫 object의 name은 A, 두 번째 object의 name은 B다. 이 문제는 Level 4에서 객체지향 기초 코드를 실행 순서대로 읽는 연습이다. class는 설계도이고 object는 class를 호출해서 만든 실제 값이다. self는 method가 실행되는 현재 object를 가리키며, __init__은 object가 만들어질 때 attribute를 준비하는 특별한 method다. 정답을 고를 때는 class 정의만 보고 바로 실행된다고 생각하지 말고, object 생성 줄, attribute 대입, method 호출, return 또는 print 흐름을 차례대로 따라가야 한다.
30	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level4_v95_a5_oop_basics.json	17	PYF95_A5_OOP_017_INSTANCE_READ_CLASS_VARIABLE	object에서 class variable 읽기	v1	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	c에 version attribute가 따로 없으면 class 쪽 version을 읽을 수 있다. 이 문제는 Level 4에서 객체지향 기초 코드를 실행 순서대로 읽는 연습이다. class는 설계도이고 object는 class를 호출해서 만든 실제 값이다. self는 method가 실행되는 현재 object를 가리키며, __init__은 object가 만들어질 때 attribute를 준비하는 특별한 method다. 정답을 고를 때는 class 정의만 보고 바로 실행된다고 생각하지 말고, object 생성 줄, attribute 대입, method 호출, return 또는 print 흐름을 차례대로 따라가야 한다.
31	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level4_v95_a5_oop_basics.json	22	PYF95_A5_OOP_022_METHOD_TWO_ARGUMENTS	method parameter 두 개	결과는 5이다	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	a는 2, b는 3이므로 add는 5를 return한다. 이 문제는 Level 4에서 객체지향 기초 코드를 실행 순서대로 읽는 연습이다. class는 설계도이고 object는 class를 호출해서 만든 실제 값이다. self는 method가 실행되는 현재 object를 가리키며, __init__은 object가 만들어질 때 attribute를 준비하는 특별한 method다. 정답을 고를 때는 class 정의만 보고 바로 실행된다고 생각하지 말고, object 생성 줄, attribute 대입, method 호출, return 또는 print 흐름을 차례대로 따라가야 한다.
32	170	HIGH_PRIORITY_REVIEW	data/lessons/python_foundation_level4_v95_a5_oop_basics.json	27	PYF95_A5_OOP_027_ATTRIBUTE_DICT	attribute가 dict일 때	결과는 3이다	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	p.data는 dict이고 level key의 값은 3이다. 이 문제는 Level 4에서 객체지향 기초 코드를 실행 순서대로 읽는 연습이다. class는 설계도이고 object는 class를 호출해서 만든 실제 값이다. self는 method가 실행되는 현재 object를 가리키며, __init__은 object가 만들어질 때 attribute를 준비하는 특별한 method다. 정답을 고를 때는 class 정의만 보고 바로 실행된다고 생각하지 말고, object 생성 줄, attribute 대입, method 호출, return 또는 print 흐름을 차례대로 따라가야 한다.
33	170	HIGH_PRIORITY_REVIEW	data/lessons/python_json_error_encoding_beginner_v119_a1.json	4	PY119_L05_BOM_SYMPTOM_001	BOM 문제 증상 읽기	BOM이나 인코딩 문제	\ufeff 같은 문자가 첫 key에 보이면 무엇을 의심할 수 있는가?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	\ufeff는 BOM이 문자열에 남았을 때 보일 수 있다. 이때 파일을 utf-8-sig로 읽는 방법을 고려할 수 있다. 문제 파일의 첫 글자 주변을 확인하면 원인을 좁힐 수 있다.
34	155	HIGH_PRIORITY_REVIEW	data/lessons/python_broad_expansion_v3.json	6	PY3_L05_nested_dict_001	중첩 dict 값 읽기	arXiv	출력은?	해설에서 정답 표현을 직접 찾기 어렵다. 해설에 언급된 보기 후보: source, name	핵심 확장 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형, 다른 보기 언급 감지	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	중첩 dict는 dict 안에 또 다른 dict가 들어 있는 구조다. source key로 안쪽 dict에 들어간 뒤 name 값을 꺼낸다. 중첩 구조는 바깥 key를 먼저 찾고 그 결과 dict에서 다시 안쪽 key를 찾는 순서로 따라가면 된다.
35	155	HIGH_PRIORITY_REVIEW	data/lessons/python_core_expansion_v1.json	6	PY_L02_fstring_001	f-string 읽기	node: LiDAR	f-string의 {name} 자리에는 무엇이 들어가는가?	해설에서 정답 표현을 직접 찾기 어렵다. 해설에 언급된 보기 후보: {name}	핵심 확장 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형, 다른 보기 언급 감지	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	f-string은 문자열 안의 중괄호 자리에 변수 값이나 간단한 표현식 결과를 넣는다. 따라서 {name} 자리에는 변수 name에 저장된 실제 값이 들어간다. 일반 문자열처럼 보이지만 앞의 f가 붙어 있기 때문에 중괄호 안이 계산된다는 점이 핵심이다. 로그, 상태 메시지, 출력 문장을 만들 때 자주 쓰이므로 변수 값이 언제 문자열에 들어가는지 확인해야 한다.
36	155	HIGH_PRIORITY_REVIEW	data/lessons/python_core_expansion_v1.json	10	PY_L04_enumerate_001	enumerate로 번호와 값 함께 읽기	순번과 값	enumerate()는 반복문에서 무엇을 함께 제공하는가?	해설에서 정답 표현을 직접 찾기 어렵다. 해설에 언급된 보기 후보: 값만	핵심 확장 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형, 다른 보기 언급 감지	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	enumerate()는 반복 중인 값과 그 값의 인덱스를 함께 제공한다. for i, value처럼 두 변수로 받으면 첫 번째에는 번호, 두 번째에는 실제 값이 들어간다. 리스트의 값만 필요한 경우에는 그냥 for value in items를 쓰면 되지만, 몇 번째 항목인지도 필요하면 enumerate가 편하다. 출력에서 번호와 값이 함께 보이면 인덱스가 0부터 시작하는지도 확인해야 한다.
37	155	CHOICE_CONFUSION_REVIEW	data/lessons/python_core_gaps_v99_a1.json	25	PYV99_A1_GAP_025_SET_DISCARD_EXISTING	discard로 있는 값 제거하기	['ai', 'python']	출력 결과는?	해설에서 정답 표현을 직접 찾기 어렵다. 해설에 언급된 보기 후보: ['web']	초급/기초 카드, 코드 결과/흐름 독해형, print/return 결과형, 다른 보기 언급 감지	해설이 다른 보기와 섞여 보일 수 있어 보기별 혼란 여부 확인	discard는 set 안에 값이 있으면 그 값을 제거하고, 값이 없어도 오류 없이 넘어간다. 이 예제에서는 web이 tags 안에 있으므로 제거되고, sorted는 출력 순서를 안정적으로 보여 주기 위해 사용된다. remove와 달리 discard는 없는 값을 지울 때도 예외를 만들지 않는다. 따라서 중복 태그나 선택 항목을 안전하게 정리할 때 자주 쓴다.
38	145	NORMAL_REVIEW	data/lessons/cards_seed_v1.json	12	L10_risk_001	불안정한 코드 위험 찾기	doc_id가 없는 줄이면 에러가 난다	이 코드가 불안정할 수 있는 이유를 고르시오.	해설에서 정답 표현을 직접 찾기 어렵다.	초기 seed 카드, print/return 결과형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	row['doc_id']처럼 대괄호 접근을 쓰면 해당 key가 없는 데이터에서 KeyError가 날 수 있다. 불안정한 코드 위험은 당장 오류가 나지 않아도 나중에 실패할 수 있는 부분을 찾는 것이다. 입력값, 예외 처리, 파일 존재 여부를 함께 봐야 한다.
39	145	NORMAL_REVIEW	data/lessons/python_dev_environment_foundation_v103_a1.json	23	PY103_L10_restore_reset_revert_001	restore, reset, revert 차이 읽기	git restore	커밋하지 않은 파일 수정을 되돌릴 때 먼저 고려할 명령은?	해설에서 정답 표현을 직접 찾기 어렵다.	초급/기초 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형	해설이 정답과 의미상 연결되는지 사람이 샘플 확인	restore, reset, revert는 모두 되돌리기처럼 보이지만 영향 범위가 다르다. restore는 보통 작업 폴더의 미커밋 변경을 되돌리는 데 쓰고, revert는 이미 커밋된 변경을 취소하는 새 커밋을 만든다. reset은 이력을 움직일 수 있어 더 조심해야 한다. 어떤 명령을 쓰기 전에는 status와 log로 현재 상태와 원격 push 여부를 확인해야 한다.
40	135	HIGH_PRIORITY_REVIEW	data/lessons/python_core_expansion_v1.json	2	PY_L01_type_001	type()으로 값의 종류 보기	value의 자료형	type() 함수는 무엇을 확인하는가?	해설에서 정답 표현을 직접 찾기 어렵다.	핵심 확장 카드, 정답이 짧아 해설 직접 연결 필요, 코드 결과/흐름 독해형, print/return 결과형	짧은 출력/결과 정답은 해설이 정답을 명확히 말하는지 우선 확인	type()은 값이 어떤 자료형인지 확인하는 함수다. 숫자, 문자열, 리스트처럼 값의 종류를 알아야 가능한 연산과 메서드를 안전하게 고를 수 있다. 예를 들어 '3'은 숫자처럼 보이지만 문자열이면 덧셈 방식이 달라진다. 코드를 읽을 때 type()이 보이면 실제 값의 모양보다 파이썬이 판단하는 종류를 확인하는 줄이라고 보면 된다.
